Wavelength (nm),Y6_n,Y6_k
730,1.55721,0.89718
731,1.56194,0.90103
732,1.5667,0.90487
733,1.5715,0.9087
734,1.57631,0.91254
735,1.58117,0.9164
736,1.58605,0.92029
737,1.59095,0.92419
738,1.59588,0.92817
739,1.60082,0.93217
740,1.60578,0.93624
741,1.61077,0.94039
742,1.61577,0.9446
743,1.62079,0.94891
744,1.62582,0.95332
745,1.63086,0.95778
746,1.63592,0.96241
747,1.64098,0.96711
748,1.64605,0.97193
749,1.65114,0.9769
750,1.65622,0.98195
751,1.6613,0.98713
752,1.66639,0.99241
753,1.67146,0.99777
754,1.67654,1.00326
755,1.6816,1.00881
756,1.68664,1.01444
757,1.69166,1.02017
758,1.69667,1.02596
759,1.70166,1.03182
760,1.70662,1.03775
761,1.71156,1.04373
762,1.71647,1.04978
763,1.72134,1.05588
764,1.72618,1.06201
765,1.73098,1.06821
766,1.73575,1.07444
767,1.74048,1.0807
768,1.74515,1.087
769,1.7498,1.09333
770,1.75439,1.09969
771,1.75894,1.10608
772,1.76346,1.11249
773,1.76795,1.11894
774,1.7725,1.12543
775,1.77709,1.13198
776,1.78184,1.13863
777,1.78671,1.14535
778,1.79176,1.15218
779,1.7971,1.15914
780,1.80262,1.16618
781,1.80851,1.17338
782,1.81472,1.18074
783,1.82116,1.18819
784,1.82821,1.19588
785,1.83557,1.20369
786,1.84331,1.21166
787,1.85171,1.21988
788,1.86044,1.22822
789,1.86977,1.23678
790,1.87971,1.24556
791,1.89001,1.25449
792,1.90114,1.26369
793,1.91279,1.27309
794,1.92489,1.28264
795,1.93795,1.29253
796,1.95145,1.30255
797,1.96558,1.3128
798,1.98048,1.32321
799,1.99576,1.33367
800,2.0117,1.34416
