Wavelength (nm),ZnOnanoVLC_n,ZnOnanoVLC_k
653,1.3375,1.20053E-5
654,1.33745,1.2E-5
655,1.3374,1.2E-5
656,1.33736,1.2E-5
657,1.33731,1.1487E-5
658,1.33726,1.1E-5
659,1.33722,1.1E-5
660,1.33717,1.1E-5
661,1.33713,1.09683E-5
662,1.33708,1.03386E-5
663,1.33704,1E-5
664,1.33699,1E-5
665,1.33695,1E-5
666,1.3369,1E-5
667,1.33686,1E-5
668,1.33682,9.55999E-6
669,1.33677,9E-6
670,1.33673,9E-6
671,1.33669,9E-6
672,1.33664,9E-6
673,1.3366,9E-6
674,1.33656,8.78068E-6
675,1.33652,8.15072E-6
676,1.33647,8E-6
677,1.33643,8E-6
678,1.33639,8E-6
679,1.33635,8E-6
680,1.33631,8E-6
681,1.33627,7.37061E-6
682,1.33623,7E-6
683,1.33619,7E-6
684,1.33615,7E-6
685,1.33611,7E-6
686,1.33607,7E-6
687,1.33603,7E-6
688,1.33599,6.95953E-6
689,1.33595,6.32931E-6
690,1.33591,6E-6
691,1.33587,6E-6
692,1.33583,6E-6
693,1.3358,6E-6
694,1.33576,6E-6
695,1.33572,6E-6
696,1.33568,6E-6
697,1.33564,6E-6
698,1.33561,6E-6
699,1.33557,6E-6
700,1.33553,5.39535E-6
701,1.3355,5E-6
702,1.33546,5E-6
703,1.33542,5E-6
704,1.33539,5E-6
705,1.33535,5E-6
706,1.33532,5E-6
707,1.33528,5E-6
708,1.33524,5E-6
709,1.33521,5E-6
710,1.33517,5E-6
711,1.33514,4.45883E-6
712,1.3351,4E-6
713,1.33507,4E-6
714,1.33504,4E-6
715,1.335,4E-6
716,1.33497,4E-6
717,1.33493,4E-6
718,1.3349,4E-6
719,1.33487,4E-6
720,1.33483,4E-6
721,1.3348,4E-6
722,1.33477,4E-6
723,1.33473,4E-6
724,1.3347,4E-6
725,1.33467,4E-6
726,1.33464,3.99561E-6
727,1.3346,3.36456E-6
728,1.33457,3E-6
729,1.33454,3E-6
730,1.33451,3E-6
731,1.33448,3E-6
732,1.33444,3E-6
733,1.33441,3E-6
734,1.33438,3E-6
735,1.33435,3E-6
736,1.33432,3E-6
737,1.33429,3E-6
738,1.33426,3E-6
739,1.33423,3E-6
740,1.3342,3E-6
741,1.33417,3E-6
742,1.33414,3E-6
743,1.33411,3E-6
744,1.33408,3E-6
745,1.33405,3E-6
746,1.33402,3E-6
747,1.33399,3E-6
748,1.33396,3E-6
749,1.33393,2.4751E-6
750,1.3339,2E-6
751,1.33387,2E-6
752,1.33385,2E-6
753,1.33382,2E-6
754,1.33379,2E-6
755,1.33376,2E-6
756,1.33373,2E-6
757,1.3337,2E-6
758,1.33368,2E-6
759,1.33365,2E-6
760,1.33362,2E-6
761,1.33359,2E-6
762,1.33357,2E-6
763,1.33354,2E-6
764,1.33351,2E-6
765,1.33348,2E-6
766,1.33346,2E-6
767,1.33343,2E-6
768,1.3334,2E-6
769,1.33338,2E-6
770,1.33335,2E-6
771,1.33332,2E-6
772,1.3333,2E-6
773,1.33327,2E-6
774,1.33325,2E-6
775,1.33322,2E-6
776,1.33319,2E-6
777,1.33317,2E-6
778,1.33314,2E-6
779,1.33312,2E-6
780,1.33309,2E-6
781,1.33307,2E-6
782,1.33304,2E-6
783,1.33302,1.98556E-6
784,1.33299,1.35302E-6
785,1.33297,1E-6
786,1.33294,1E-6
787,1.33292,1E-6
788,1.3329,1E-6
789,1.33287,1E-6
790,1.33285,1E-6
791,1.33282,1E-6
792,1.3328,1E-6
793,1.33278,1E-6
794,1.33275,1E-6
795,1.33273,1E-6
796,1.3327,1E-6
797,1.33268,1E-6
798,1.33266,1E-6
799,1.33263,1E-6
800,1.33261,1E-6
