Wavelength (nm),MAPITejas2_n,MAPITejas2_k
646,2.17586,0.20857
647,2.17315,0.20816
648,2.17044,0.20774
649,2.16773,0.20733
650,2.16502,0.20691
651,2.16258,0.20649
652,2.16014,0.20608
653,2.1577,0.20566
654,2.15526,0.20524
655,2.15282,0.20483
656,2.15047,0.20441
657,2.14812,0.204
658,2.14577,0.20358
659,2.14343,0.20316
660,2.14108,0.20275
661,2.13873,0.20244
662,2.13638,0.20213
663,2.13403,0.20182
664,2.13169,0.20151
665,2.12934,0.2012
666,2.12708,0.201
667,2.12483,0.20079
668,2.12257,0.20058
669,2.12032,0.20037
670,2.11806,0.20016
671,2.11629,0.19995
672,2.11451,0.19975
673,2.11274,0.19954
674,2.11096,0.19933
675,2.10919,0.19912
676,2.10742,0.19891
677,2.10564,0.1987
678,2.10387,0.1985
679,2.10209,0.19829
680,2.10032,0.19808
681,2.09862,0.19794
682,2.09691,0.1978
683,2.09521,0.19766
684,2.0935,0.19752
685,2.0918,0.19739
686,2.09023,0.19729
687,2.08867,0.19719
688,2.0871,0.1971
689,2.08554,0.197
690,2.08397,0.19691
691,2.08241,0.19681
692,2.08084,0.19672
693,2.07927,0.19662
694,2.07771,0.19653
695,2.07614,0.19643
696,2.07485,0.19634
697,2.07355,0.19624
698,2.07225,0.19615
699,2.07095,0.19605
700,2.06966,0.19596
701,2.07021,0.19586
702,2.07076,0.19577
703,2.07131,0.19567
704,2.07187,0.19558
705,2.07242,0.19548
706,2.07297,0.19517
707,2.07352,0.19486
708,2.07408,0.19454
709,2.07463,0.19423
710,2.07518,0.19392
711,2.07573,0.1936
712,2.07629,0.19327
713,2.07684,0.19295
714,2.07739,0.19263
715,2.07794,0.19231
716,2.08061,0.19199
717,2.08328,0.19166
718,2.08595,0.19134
719,2.08861,0.19102
720,2.09128,0.1907
721,2.09393,0.19032
722,2.09657,0.18994
723,2.09922,0.18956
724,2.10186,0.18918
725,2.10451,0.18881
726,2.10607,0.18749
727,2.10764,0.18616
728,2.10921,0.18484
729,2.11077,0.18352
730,2.11234,0.1822
731,2.1139,0.18088
732,2.11547,0.17956
733,2.11703,0.17824
734,2.1186,0.17691
735,2.12016,0.17559
736,2.12173,0.17397
737,2.12329,0.17234
738,2.12486,0.17071
739,2.12642,0.16909
740,2.12799,0.16746
741,2.13166,0.16557
742,2.13533,0.16369
743,2.13901,0.1618
744,2.14268,0.15991
745,2.14635,0.15802
746,2.1493,0.15578
747,2.15226,0.15353
748,2.15521,0.15129
749,2.15817,0.14904
750,2.16112,0.1468
751,2.16067,0.14383
752,2.16022,0.14087
753,2.15976,0.13791
754,2.15931,0.13495
755,2.15886,0.13199
756,2.1584,0.12869
757,2.15795,0.12539
758,2.1575,0.1221
759,2.15704,0.1188
760,2.15659,0.11551
761,2.15614,0.1113
762,2.15568,0.10709
763,2.15523,0.10288
764,2.15478,0.09868
765,2.15432,0.09447
766,2.1525,0.0887
767,2.15067,0.08294
768,2.14885,0.07718
769,2.14702,0.07141
770,2.1452,0.06565
771,2.1425,0.06233
772,2.1398,0.059
773,2.1371,0.05568
774,2.1344,0.05236
775,2.1317,0.04904
776,2.12851,0.0471
777,2.12532,0.04517
778,2.12213,0.04323
779,2.11894,0.0413
780,2.11575,0.03936
781,2.10796,0.03724
782,2.10017,0.03511
783,2.09238,0.03299
784,2.08459,0.03086
785,2.0768,0.02873
786,2.06758,0.02613
787,2.05835,0.02353
788,2.04913,0.02092
789,2.0399,0.01832
790,2.03068,0.01571
791,2.02036,0.01469
792,2.01004,0.01368
793,1.99973,0.01266
794,1.98941,0.01164
795,1.97909,0.01062
796,1.96862,0.00991
797,1.95815,0.00919
798,1.94768,0.00848
799,1.93721,0.00777
800,1.92673,0.00705
801,1.92139,0.00634
802,1.91605,0.00563
803,1.91071,0.00492
804,1.90537,0.0042
805,1.90003,0.00349
806,1.89468,0.00299
807,1.88934,0.00248
808,1.884,0.00198
809,1.87866,0.00148
810,1.87332,9.76E-4
811,1.8671,9.342E-4
812,1.86088,8.924E-4
813,1.85466,8.506E-4
814,1.84844,8.088E-4
815,1.84222,7.67E-4
816,1.8356,7.25E-4
817,1.82897,6.83E-4
818,1.82235,6.41E-4
819,1.81572,5.99E-4
820,1.8091,5.57E-4
821,1.80464,5.152E-4
822,1.80018,4.734E-4
823,1.79572,4.316E-4
824,1.79126,3.898E-4
825,1.7868,3.48E-4
826,1.78251,3.06E-4
827,1.77823,2.64E-4
828,1.77395,2.22E-4
829,1.76967,1.8E-4
830,1.76539,1.38E-4
831,1.76219,1.104E-4
832,1.759,8.28E-5
833,1.7558,5.52E-5
834,1.7526,2.76E-5
835,1.74941,0
836,1.74651,0
837,1.74361,0
838,1.74071,0
839,1.73781,0
840,1.73491,0
841,1.73201,0
842,1.7291,0
843,1.7262,0
844,1.7233,0
845,1.7204,0
846,1.71835,0
847,1.71629,0
848,1.71423,0
849,1.71217,0
850,1.71012,0
851,1.70867,0
852,1.70722,0
853,1.70577,0
854,1.70433,0
855,1.70288,0
