Wavelength (nm),MAPITejas_n,MAPITejas_k
727,0.34028,2.45523
728,0.33972,2.45727
729,0.3388,2.45932
730,0.33787,2.46136
731,0.33695,2.46341
732,0.33602,2.46546
733,0.3351,2.4675
734,0.33417,2.46955
735,0.33325,2.47159
736,0.33233,2.47364
737,0.3314,2.47569
738,0.33048,2.47773
739,0.32955,2.47978
740,0.32863,2.48182
741,0.3277,2.48387
742,0.32678,2.48592
743,0.32585,2.48796
744,0.32493,2.49001
745,0.32401,2.49206
746,0.32308,2.4941
747,0.32216,2.49615
748,0.32123,2.49819
749,0.32031,2.50024
750,0.31883,2.50229
751,0.31618,2.50437
752,0.31353,2.50652
753,0.31087,2.50867
754,0.30822,2.51081
755,0.30557,2.51296
756,0.30292,2.51511
757,0.30027,2.51726
758,0.29762,2.51941
759,0.29497,2.52155
760,0.29232,2.5237
761,0.28966,2.52585
762,0.28701,2.528
763,0.28436,2.53015
764,0.27995,2.53229
765,0.27474,2.53444
766,0.26954,2.53659
767,0.26434,2.53874
768,0.25914,2.53938
769,0.25394,2.53749
770,0.24873,2.5356
771,0.24353,2.53371
772,0.23833,2.53181
773,0.23313,2.52992
774,0.22793,2.52803
775,0.22273,2.52614
776,0.21802,2.52425
777,0.21346,2.52236
778,0.20891,2.52047
779,0.20436,2.51858
780,0.19981,2.51669
781,0.19526,2.5148
782,0.19071,2.51226
783,0.18616,2.50951
784,0.18161,2.50675
785,0.17706,2.504
786,0.17451,2.50124
787,0.17376,2.49849
788,0.17301,2.49573
789,0.17226,2.49298
790,0.17151,2.49023
791,0.17076,2.48747
792,0.17001,2.48472
793,0.16926,2.48196
794,0.16852,2.47921
795,0.16777,2.47645
796,0.16702,2.4737
797,0.16627,2.47094
798,0.16552,2.46819
799,0.16477,2.46543
800,0.16402,2.46268
801,0.16328,2.46112
802,0.16253,2.45955
803,0.16178,2.45798
804,0.16103,2.45642
805,0.16028,2.45485
806,0.15956,2.45329
807,0.15912,2.45172
808,0.15868,2.45015
809,0.15825,2.44859
810,0.15781,2.44702
811,0.15737,2.44545
812,0.15693,2.44389
813,0.15649,2.44232
814,0.15605,2.44075
815,0.15561,2.43919
816,0.15518,2.43762
817,0.15474,2.43605
818,0.1543,2.43449
819,0.15386,2.43292
820,0.15342,2.43136
821,0.15298,2.42979
822,0.15255,2.42822
823,0.15211,2.42667
824,0.15167,2.42587
825,0.15123,2.42507
826,0.15079,2.42427
827,0.15035,2.42347
828,0.14992,2.42267
829,0.1495,2.42187
830,0.14931,2.42107
831,0.14911,2.42027
832,0.14891,2.41947
833,0.14872,2.41867
834,0.14852,2.41787
835,0.14832,2.41707
836,0.14812,2.41627
837,0.14793,2.41548
838,0.14773,2.41468
839,0.14753,2.41388
840,0.14733,2.41308
841,0.14714,2.41228
842,0.14694,2.41148
843,0.14674,2.41068
844,0.14655,2.40988
845,0.14635,2.40908
846,0.14615,2.40828
847,0.14595,2.40748
848,0.14576,2.40668
849,0.14556,2.40598
850,0.14536,2.40538
851,0.14517,2.40478
852,0.14497,2.40419
853,0.14477,2.40359
854,0.14456,2.403
855,0.14434,2.4024
856,0.14412,2.4018
857,0.1439,2.40121
858,0.14368,2.40061
859,0.14346,2.40001
860,0.14324,2.39942
861,0.14301,2.39882
862,0.14279,2.39822
863,0.14257,2.39763
864,0.14235,2.39703
865,0.14213,2.39644
866,0.14191,2.39584
867,0.14169,2.39524
868,0.14146,2.39465
869,0.14124,2.39405
870,0.14102,2.39345
871,0.1408,2.39286
872,0.14058,2.39226
873,0.14036,2.39166
874,0.14013,2.39107
875,0.13991,2.39077
876,0.1397,2.39049
877,0.13949,2.39022
878,0.13929,2.38994
879,0.13908,2.38966
880,0.13888,2.38938
881,0.13867,2.38911
882,0.13847,2.38883
883,0.13826,2.38855
884,0.13806,2.38828
885,0.13785,2.388
886,0.13765,2.38772
887,0.13745,2.38744
888,0.13724,2.38717
889,0.13704,2.38689
890,0.13683,2.38661
891,0.13663,2.38633
892,0.13642,2.38603
893,0.13622,2.38528
894,0.13601,2.38453
895,0.13581,2.38378
896,0.1356,2.38303
897,0.1354,2.38228
898,0.13519,2.38153
899,0.13499,2.38153
900,0.13499,2.38153
