Wavelength (nm),PC70BMVLC_n,PC70BMVLC_k
785,1.91512,0.05569
786,1.91496,0.05554
787,1.9148,0.05539
788,1.91464,0.05524
789,1.91448,0.05509
790,1.91432,0.05494
791,1.91416,0.05479
792,1.914,0.05465
793,1.91384,0.0545
794,1.91368,0.05435
795,1.91353,0.05421
796,1.91337,0.05406
797,1.91321,0.05392
798,1.91306,0.05377
799,1.9129,0.05363
800,1.91275,0.05349
