Wavelength (nm),ZnOBrabec_n,ZnOBrabec_k
711,1.63943,0
712,1.63937,0
713,1.63937,0
714,1.63937,0
715,1.63937,0
716,1.63937,0
717,1.63937,0
718,1.63937,0
719,1.63937,0
720,1.63937,0
721,1.63937,0
722,1.63937,0
723,1.63937,0
724,1.63937,0
725,1.63937,0
726,1.63937,0
727,1.63937,0
728,1.63937,0
729,1.63937,0
730,1.63937,0
731,1.63937,0
732,1.63937,0
733,1.63937,0
734,1.63937,0
735,1.63937,0
736,1.63937,0
737,1.63937,0
738,1.63937,0
739,1.63937,0
740,1.63937,0
741,1.63937,0
742,1.63937,0
743,1.63937,0
744,1.63937,0
745,1.63937,0
746,1.63937,0
747,1.63937,0
748,1.63937,0
749,1.63937,0
750,1.63937,0
751,1.63937,0
752,1.63931,0
753,1.63916,0
754,1.63901,0
755,1.63886,0
756,1.63871,0
757,1.63855,0
758,1.6384,0
759,1.63825,0
760,1.6381,0
761,1.63795,0
762,1.63779,0
763,1.63764,0
764,1.63749,0
765,1.63734,0
766,1.63718,0
767,1.63703,0
768,1.63688,0
769,1.63673,0
770,1.63658,0
771,1.63642,0
772,1.63627,0
773,1.63621,0
774,1.63627,0
775,1.63634,0
776,1.6364,0
777,1.63647,0
778,1.63653,0
779,1.6366,0
780,1.63666,0
781,1.63673,0
782,1.63679,0
783,1.63686,0
784,1.63692,0
785,1.63699,0
786,1.63706,0
787,1.63712,0
788,1.63719,0
789,1.63725,0
790,1.63732,0
791,1.63738,0
792,1.63745,0
793,1.63751,0
794,1.63758,0
795,1.63764,0
796,1.63771,0
797,1.63777,0
798,1.63778,0
799,1.63778,0
800,1.63778,0
801,1.63778,0
802,1.63778,0
803,1.63778,0
804,1.63778,0
805,1.63778,0
806,1.63778,0
807,1.63778,0
808,1.63778,0
809,1.63778,0
810,1.63778,0
811,1.63778,0
812,1.63778,0
813,1.63778,0
814,1.63778,0
815,1.63778,0
816,1.63778,0
817,1.63778,0
818,1.63778,0
819,1.63778,0
820,1.63778,0
821,1.63778,0
822,1.63778,0
823,1.63778,0
824,1.63778,0
825,1.63778,0
826,1.63778,0
827,1.63778,0
828,1.63778,0
829,1.63778,0
830,1.63778,0
831,1.63778,0
832,1.63778,0
833,1.63778,0
834,1.63778,0
835,1.63778,0
836,1.63778,0
837,1.63778,0
838,1.63778,0
839,1.63778,0
840,1.63778,0
841,1.63778,0
842,1.63778,0
843,1.63778,0
844,1.63778,0
845,1.63778,0
846,1.63778,0
847,1.63778,0
848,1.63778,0
849,1.63778,0
850,1.63778,0
851,1.63778,0
852,1.63778,0
853,1.63778,0
854,1.63778,0
855,1.63778,0
856,1.63778,0
857,1.63778,0
858,1.63778,0
859,1.63778,0
860,1.63778,0
861,1.63778,0
862,1.63777,0
863,1.63764,0
864,1.63751,0
865,1.63738,0
866,1.63725,0
867,1.63712,0
868,1.63698,0
869,1.63685,0
870,1.63672,0
871,1.63659,0
872,1.63646,0
873,1.63633,0
874,1.6362,0
875,1.63607,0
876,1.63594,0
877,1.63581,0
878,1.63568,0
879,1.63555,0
880,1.63542,0
881,1.63529,0
882,1.63516,0
883,1.63503,0
884,1.6349,0
885,1.63477,0
886,1.63464,0
887,1.63458,0
888,1.63458,0
889,1.63458,0
890,1.63458,0
891,1.63458,0
892,1.63458,0
893,1.63458,0
894,1.63458,0
895,1.63458,0
896,1.63458,0
897,1.63458,0
898,1.63458,0
899,1.63458,0
900,1.63458,0
901,1.63458,0
902,1.63458,0
903,1.63458,0
904,1.63458,0
905,1.63458,0
906,1.63458,0
907,1.63458,0
908,1.63458,0
909,1.63458,0
910,1.63458,0
911,1.63458,0
912,1.63458,0
913,1.63458,0
914,1.63458,0
915,1.63458,0
916,1.63458,0
917,1.63458,0
918,1.63458,0
919,1.63458,0
920,1.63458,0
921,1.63458,0
922,1.63458,0
923,1.63458,0
924,1.63458,0
925,1.63458,0
926,1.63458,0
927,1.63458,0
928,1.63458,0
929,1.63458,0
930,1.63458,0
931,1.63458,0
932,1.63458,0
933,1.63458,0
934,1.63458,0
935,1.63458,0
936,1.63458,0
937,1.63458,0
938,1.63458,0
939,1.63458,0
940,1.63458,0
941,1.63458,0
942,1.63458,0
943,1.63458,0
944,1.63458,0
945,1.63458,0
946,1.63458,0
947,1.63458,0
948,1.63458,0
949,1.63458,0
950,1.63458,0
951,1.63458,0
952,1.63458,0
953,1.63458,0
954,1.63458,0
955,1.63458,0
956,1.63458,0
957,1.63458,0
958,1.63458,0
959,1.63458,0
960,1.63458,0
961,1.63458,0
962,1.63458,0
963,1.63458,0
964,1.63458,0
965,1.63458,0
966,1.63458,0
967,1.63458,0
968,1.63458,0
969,1.63458,0
970,1.63458,0
971,1.63458,0
972,1.63458,0
973,1.63458,0
974,1.63458,0
975,1.63458,0
976,1.63458,0
977,1.63458,0
978,1.63458,0
979,1.63458,0
980,1.63458,0
981,1.63458,0
982,1.63458,0
983,1.63458,0
984,1.63458,0
985,1.63458,0
986,1.63458,0
987,1.63458,0
988,1.63458,0
989,1.63458,0
990,1.63458,0
991,1.63458,0
992,1.63458,0
993,1.63458,0
994,1.63458,0
995,1.63458,0
996,1.63458,0
997,1.63458,0
998,1.63458,0
999,1.63458,0
1000,1.63458,0
