Wavelength (nm),ITIC_n,ITIC_k
648,1.67491,0.89783
649,1.68513,0.90121
650,1.69529,0.90491
651,1.7053,0.90925
652,1.71521,0.91408
653,1.72503,0.91926
654,1.73465,0.92532
655,1.74419,0.93176
656,1.75359,0.93877
657,1.76282,0.94653
658,1.77198,0.95463
659,1.78103,0.96332
660,1.79003,0.97236
661,1.79901,0.98162
662,1.80797,0.99123
663,1.81696,1.00093
664,1.82597,1.01074
665,1.83507,1.02056
666,1.84422,1.03036
667,1.85347,1.04006
668,1.86285,1.04956
669,1.87231,1.05894
670,1.88196,1.06795
671,1.89174,1.07668
672,1.90164,1.08515
673,1.9118,1.093
674,1.92208,1.10054
675,1.93256,1.10758
676,1.94329,1.11394
677,1.95415,1.11993
678,1.96531,1.1251
679,1.97669,1.12965
680,1.98822,1.13376
681,2.00016,1.13671
682,2.01228,1.13916
683,2.02465,1.14087
684,2.03741,1.14151
685,2.05037,1.14159
686,2.0637,1.14061
687,2.07739,1.1387
688,2.0913,1.13618
689,2.10575,1.13226
690,2.12051,1.1276
691,2.13559,1.12212
692,2.15127,1.11521
693,2.16725,1.10763
694,2.18374,1.09889
695,2.20075,1.08902
696,2.21805,1.07851
697,2.2359,1.06678
698,2.25405,1.05437
699,2.27245,1.0414
700,2.29128,1.02739
701,2.31026,1.013
702,2.32947,0.99804
703,2.34888,0.98247
704,2.36838,0.96662
705,2.38802,0.95025
706,2.40771,0.93358
707,2.42742,0.9167
708,2.44711,0.89945
709,2.46674,0.88207
710,2.48631,0.86454
711,2.5057,0.84686
712,2.52497,0.82914
713,2.54402,0.81135
714,2.56278,0.79356
715,2.58137,0.77577
716,2.59952,0.75806
717,2.61736,0.74041
718,2.63491,0.72283
719,2.65184,0.70544
720,2.66845,0.68815
721,2.68456,0.67102
722,2.70003,0.65413
723,2.71513,0.63737
724,2.72946,0.62089
725,2.7432,0.60463
726,2.75651,0.58854
727,2.76873,0.57285
728,2.78046,0.55736
729,2.79152,0.54212
730,2.80154,0.52727
731,2.81101,0.51263
732,2.8195,0.49836
733,2.82706,0.48443
734,2.83403,0.47072
735,2.83966,0.4575
736,2.84452,0.44456
737,2.84861,0.4319
738,2.85135,0.41971
739,2.8535,0.40773
740,2.85473,0.39608
741,2.85497,0.38476
742,2.85468,0.37362
743,2.85337,0.36284
744,2.85139,0.35228
745,2.84893,0.34189
746,2.8454,0.33186
747,2.84146,0.32198
748,2.83693,0.3123
749,2.83162,0.30289
750,2.82595,0.29362
751,2.81963,0.28457
752,2.81278,0.27572
753,2.80561,0.267
754,2.79776,0.25853
755,2.78959,0.25019
756,2.78109,0.24199
757,2.77203,0.23403
758,2.76275,0.22617
759,2.75311,0.21847
760,2.74311,0.21096
761,2.73292,0.20354
762,2.72239,0.19633
763,2.71165,0.18924
764,2.70076,0.18225
765,2.68958,0.17549
766,2.67831,0.16881
767,2.6669,0.16227
768,2.65534,0.15591
769,2.64373,0.14964
770,2.63204,0.14353
771,2.62031,0.13757
772,2.60856,0.13169
773,2.59683,0.12602
774,2.58513,0.12045
775,2.57346,0.11499
776,2.56192,0.10973
777,2.55045,0.10457
778,2.5391,0.09954
779,2.52796,0.09469
780,2.51692,0.08994
781,2.50615,0.08536
782,2.4956,0.08093
783,2.48521,0.07659
784,2.47524,0.07248
785,2.46546,0.06847
786,2.45593,0.06459
787,2.44677,0.0609
788,2.43778,0.05731
789,2.42909,0.05388
790,2.42067,0.0506
791,2.41242,0.0474
792,2.40451,0.0444
793,2.39679,0.0415
794,2.38925,0.0387
795,2.38205,0.03608
796,2.37499,0.03355
797,2.36815,0.03114
798,2.36156,0.02887
799,2.35511,0.02668
800,2.34891,0.02463
