Wavelength (nm),IT2Cl_n,IT2Cl_k
687,1.89492,1.27908
688,1.90142,1.2829
689,1.90821,1.28722
690,1.9152,1.29178
691,1.92241,1.29662
692,1.93006,1.30192
693,1.93795,1.30743
694,1.94623,1.3133
695,1.95498,1.31953
696,1.964,1.32596
697,1.97365,1.33281
698,1.98373,1.33983
699,1.99417,1.347
700,2.00541,1.35433
701,2.01702,1.36168
702,2.02919,1.36903
703,2.0421,1.37628
704,2.05541,1.38345
705,2.06951,1.39041
706,2.08424,1.39713
707,2.0994,1.40368
708,2.11559,1.40976
709,2.13226,1.41557
710,2.14954,1.42105
711,2.16778,1.42594
712,2.1865,1.43052
713,2.20606,1.43454
714,2.22643,1.43799
715,2.2473,1.44109
716,2.26925,1.44339
717,2.29179,1.44519
718,2.3149,1.44653
719,2.33886,1.44692
720,2.36312,1.44686
721,2.38782,1.44607
722,2.41287,1.44439
723,2.43807,1.44221
724,2.46347,1.43901
725,2.48892,1.43502
726,2.51439,1.43049
727,2.53978,1.42457
728,2.56506,1.41804
729,2.5902,1.41065
730,2.61503,1.40198
731,2.63968,1.39265
732,2.66397,1.3821
733,2.68786,1.37042
734,2.7115,1.35802
735,2.73452,1.34399
736,2.75717,1.32903
737,2.77944,1.31313
738,2.80097,1.29544
739,2.82214,1.27698
740,2.84275,1.25729
741,2.86269,1.23642
742,2.88225,1.21492
743,2.90104,1.19228
744,2.91925,1.16898
745,2.93705,1.1452
746,2.95381,1.12046
747,2.9701,1.09541
748,2.98574,1.0699
749,3.00039,1.0439
750,3.01452,1.01769
751,3.02769,0.99113
752,3.03995,0.96438
753,3.05164,0.93752
754,3.06198,0.91049
755,3.07154,0.88344
756,3.0803,0.85636
757,3.08753,0.82934
758,3.09402,0.80237
759,3.09931,0.77551
760,3.10315,0.74883
761,3.10618,0.72227
762,3.10757,0.69597
763,3.10789,0.66987
764,3.10744,0.64392
765,3.10533,0.61833
766,3.10257,0.59292
767,3.09893,0.56775
768,3.09413,0.54296
769,3.08878,0.51838
770,3.0825,0.49418
771,3.07547,0.47036
772,3.06799,0.4468
773,3.0596,0.42381
774,3.05077,0.40119
775,3.04151,0.37892
776,3.03154,0.35739
777,3.0213,0.33623
778,3.01063,0.31564
779,2.99955,0.29581
780,2.98827,0.2764
781,2.97663,0.25787
782,2.9648,0.24006
783,2.95282,0.22274
784,2.94062,0.20669
785,2.92836,0.19126
786,2.91602,0.1766
787,2.90358,0.16311
788,2.8911,0.15017
789,2.87856,0.13816
790,2.86596,0.12699
791,2.85334,0.11631
792,2.84067,0.10664
793,2.82799,0.09753
794,2.8153,0.08891
795,2.80262,0.08124
796,2.78995,0.07394
797,2.77731,0.06722
798,2.76473,0.06116
799,2.75219,0.05543
800,2.73973,0.0503
