Wavelength (nm),DPO_n,DPO_k
785,1.54556,0.00724
786,1.54545,0.00723
787,1.54534,0.00721
788,1.54523,0.00719
789,1.54512,0.00717
790,1.54502,0.00715
791,1.54491,0.00713
792,1.5448,0.00712
793,1.54469,0.0071
794,1.54459,0.00708
795,1.54448,0.00706
796,1.54438,0.00704
797,1.54427,0.00703
798,1.54417,0.00701
799,1.54406,0.00699
800,1.54396,0.00697
