Wavelength (nm),glass_n,glass_k
871,1.50951,0
872,1.50949,0
873,1.50948,0
874,1.50946,0
875,1.50945,0
876,1.50943,0
877,1.50942,0
878,1.5094,0
879,1.50939,0
880,1.50937,0
881,1.50936,0
882,1.50934,0
883,1.50932,0
884,1.50931,0
885,1.50929,0
886,1.50928,0
887,1.50926,0
888,1.50925,0
889,1.50923,0
890,1.50922,0
891,1.5092,0
892,1.50919,0
893,1.50917,0
894,1.50916,0
895,1.50914,0
896,1.50912,0
897,1.50911,0
898,1.50909,0
899,1.50908,0
900,1.50906,0
