Wavelength (nm),SpiroOMeTAD_n,SpiroOMeTAD_k
471,1.71456,0.03422
472,1.71422,0.03404
473,1.71387,0.03387
474,1.71352,0.03369
475,1.71317,0.03351
476,1.71282,0.03333
477,1.71247,0.03316
478,1.71213,0.03298
479,1.71178,0.0328
480,1.71143,0.03262
481,1.71102,0.03222
482,1.7106,0.0318
483,1.71019,0.03138
484,1.70978,0.03096
485,1.70936,0.03055
486,1.70895,0.03013
487,1.70853,0.02971
488,1.70812,0.0293
489,1.70771,0.02888
490,1.70729,0.02846
491,1.70678,0.02798
492,1.70627,0.0275
493,1.70576,0.02702
494,1.70525,0.02654
495,1.70474,0.02605
496,1.70423,0.02557
497,1.70372,0.02509
498,1.70321,0.02461
499,1.70269,0.02413
500,1.70218,0.02364
501,1.70161,0.02319
502,1.70103,0.02274
503,1.70045,0.02228
504,1.69987,0.02183
505,1.69929,0.02138
506,1.69871,0.02093
507,1.69813,0.02047
508,1.69755,0.02002
509,1.69697,0.01957
510,1.69639,0.01911
511,1.69578,0.01873
512,1.69517,0.01834
513,1.69457,0.01796
514,1.69396,0.01757
515,1.69335,0.01719
516,1.69274,0.01681
517,1.69213,0.01642
518,1.69153,0.01604
519,1.69092,0.01565
520,1.69031,0.01527
521,1.68971,0.01496
522,1.6891,0.01465
523,1.6885,0.01435
524,1.6879,0.01404
525,1.68729,0.01373
526,1.68669,0.01343
527,1.68609,0.01312
528,1.68548,0.01281
529,1.68488,0.01251
530,1.68427,0.0122
531,1.6837,0.01196
532,1.68312,0.01173
533,1.68254,0.0115
534,1.68196,0.01126
535,1.68139,0.01103
536,1.68081,0.0108
537,1.68023,0.01056
538,1.67966,0.01033
539,1.67908,0.01009
540,1.6785,0.00986
541,1.67796,0.00969
542,1.67742,0.00951
543,1.67688,0.00934
544,1.67635,0.00917
545,1.67581,0.009
546,1.67527,0.00883
547,1.67473,0.00866
548,1.67419,0.00848
549,1.67365,0.00831
550,1.67312,0.00814
551,1.67262,0.00802
552,1.67213,0.00789
553,1.67163,0.00777
554,1.67114,0.00765
555,1.67064,0.00753
556,1.67015,0.00741
557,1.66966,0.00729
558,1.66916,0.00716
559,1.66867,0.00704
560,1.66817,0.00692
561,1.66772,0.00684
562,1.66728,0.00675
563,1.66683,0.00667
564,1.66638,0.00659
565,1.66593,0.0065
566,1.66548,0.00642
567,1.66504,0.00634
568,1.66459,0.00625
569,1.66414,0.00617
570,1.66369,0.00609
571,1.66329,0.00603
572,1.66288,0.00598
573,1.66248,0.00593
574,1.66208,0.00587
575,1.66167,0.00582
576,1.66127,0.00576
577,1.66086,0.00571
578,1.66046,0.00566
579,1.66006,0.0056
580,1.65965,0.00555
581,1.65929,0.00552
582,1.65893,0.00549
583,1.65856,0.00545
584,1.6582,0.00542
585,1.65784,0.00539
586,1.65748,0.00536
587,1.65711,0.00533
588,1.65675,0.0053
589,1.65639,0.00526
590,1.65603,0.00523
591,1.6557,0.00522
592,1.65538,0.0052
593,1.65505,0.00519
594,1.65473,0.00517
595,1.6544,0.00516
596,1.65408,0.00514
597,1.65375,0.00512
598,1.65343,0.00511
599,1.6531,0.00509
600,1.65278,0.00508
601,1.65248,0.00507
602,1.65219,0.00507
603,1.6519,0.00507
604,1.65161,0.00506
605,1.65132,0.00506
606,1.65103,0.00505
607,1.65073,0.00505
608,1.65044,0.00505
609,1.65015,0.00504
610,1.64986,0.00504
611,1.6496,0.00504
612,1.64934,0.00505
613,1.64908,0.00505
614,1.64881,0.00506
615,1.64855,0.00506
616,1.64829,0.00507
617,1.64803,0.00507
618,1.64777,0.00507
619,1.64751,0.00508
620,1.64725,0.00508
621,1.64701,0.00509
622,1.64677,0.0051
623,1.64654,0.00511
624,1.6463,0.00512
625,1.64607,0.00513
626,1.64583,0.00514
627,1.6456,0.00515
628,1.64536,0.00516
629,1.64513,0.00517
630,1.6449,0.00518
631,1.64468,0.0052
632,1.64447,0.00521
633,1.64426,0.00523
634,1.64405,0.00524
635,1.64383,0.00525
636,1.64362,0.00527
637,1.64341,0.00528
638,1.6432,0.0053
639,1.64299,0.00531
640,1.64278,0.00533
641,1.64258,0.00534
642,1.64239,0.00536
643,1.6422,0.00538
644,1.64201,0.00539
645,1.64182,0.00541
646,1.64162,0.00543
647,1.64143,0.00544
648,1.64124,0.00546
649,1.64105,0.00548
650,1.64086,0.00549
651,1.64068,0.00551
652,1.64051,0.00553
653,1.64033,0.00555
654,1.64016,0.00557
655,1.63998,0.00558
656,1.63981,0.0056
657,1.63964,0.00562
658,1.63946,0.00564
659,1.63929,0.00566
660,1.63911,0.00568
661,1.63895,0.0057
662,1.6388,0.00571
663,1.63864,0.00573
664,1.63848,0.00575
665,1.63832,0.00577
666,1.63816,0.00579
667,1.638,0.00581
668,1.63784,0.00583
669,1.63768,0.00585
670,1.63753,0.00587
671,1.63738,0.00589
672,1.63723,0.00591
673,1.63709,0.00593
674,1.63694,0.00595
675,1.6368,0.00597
676,1.63665,0.00599
677,1.63651,0.00601
678,1.63636,0.00603
679,1.63622,0.00605
680,1.63607,0.00607
681,1.63594,0.00609
682,1.6358,0.00611
683,1.63567,0.00613
684,1.63553,0.00615
685,1.6354,0.00617
686,1.63527,0.00619
687,1.63513,0.00621
688,1.635,0.00623
689,1.63487,0.00625
690,1.63473,0.00627
691,1.63461,0.00629
692,1.63448,0.00631
693,1.63436,0.00633
694,1.63424,0.00635
695,1.63411,0.00637
696,1.63399,0.00639
697,1.63387,0.00641
698,1.63374,0.00643
699,1.63362,0.00645
700,1.6335,0.00647
701,1.63338,0.00649
702,1.63327,0.00651
703,1.63315,0.00653
704,1.63304,0.00655
705,1.63292,0.00657
706,1.63281,0.00659
707,1.63269,0.00661
708,1.63258,0.00663
709,1.63246,0.00665
710,1.63235,0.00667
711,1.63224,0.00669
712,1.63213,0.00671
713,1.63203,0.00673
714,1.63192,0.00675
715,1.63181,0.00677
716,1.6317,0.00679
717,1.6316,0.00681
718,1.63149,0.00683
719,1.63138,0.00685
720,1.63128,0.00687
721,1.63118,0.00688
722,1.63107,0.0069
723,1.63097,0.00692
724,1.63087,0.00694
725,1.63077,0.00696
726,1.63067,0.00698
727,1.63057,0.007
728,1.63047,0.00702
729,1.63037,0.00704
730,1.63027,0.00706
731,1.63018,0.00708
732,1.63008,0.0071
733,1.62999,0.00712
734,1.62989,0.00714
735,1.6298,0.00716
736,1.6297,0.00718
737,1.62961,0.0072
738,1.62951,0.00722
739,1.62942,0.00724
740,1.62932,0.00726
741,1.62923,0.00728
742,1.62914,0.0073
743,1.62905,0.00731
744,1.62896,0.00733
745,1.62888,0.00735
746,1.62879,0.00737
747,1.6287,0.00739
748,1.62861,0.00741
749,1.62852,0.00743
750,1.62843,0.00745
751,1.62834,0.00747
752,1.62826,0.00749
753,1.62817,0.00751
754,1.62808,0.00753
755,1.628,0.00755
756,1.62791,0.00757
757,1.62783,0.00759
758,1.62774,0.00761
759,1.62766,0.00762
760,1.62757,0.00764
761,1.62749,0.00766
762,1.62741,0.00768
763,1.62733,0.0077
764,1.62725,0.00772
765,1.62716,0.00774
766,1.62708,0.00776
767,1.627,0.00778
768,1.62692,0.0078
769,1.62684,0.00782
770,1.62676,0.00784
771,1.62668,0.00786
772,1.6266,0.00788
773,1.62652,0.0079
774,1.62644,0.00792
775,1.62636,0.00794
776,1.62628,0.00796
