Wavelength (nm),aSi_n,aSi_k
770,3.97,0.1695
771,3.97,0.168
772,3.97,0.1655
773,3.97,0.163
774,3.97,0.1605
775,3.965,0.158
776,3.96,0.156
777,3.945,0.154
778,3.93,0.152
779,3.93,0.1495
780,3.93,0.147
781,3.93,0.143
782,3.93,0.139
783,3.93,0.137
784,3.93,0.135
785,3.93,0.13367
786,3.93,0.13233
787,3.93,0.131
788,3.92,0.129
789,3.91,0.127
790,3.9,0.124
791,3.895,0.121
792,3.89,0.1185
793,3.89,0.116
794,3.89,0.11433
795,3.875,0.11267
796,3.86,0.111
797,3.86,0.108
798,3.86,0.105
799,3.86,0.1035
800,3.86,0.102
