Wavelength (nm),IDTBR_n,IDTBR_k
654,1.83733,1.02559
655,1.84565,1.02689
656,1.85426,1.02816
657,1.86328,1.02946
658,1.87252,1.03077
659,1.88216,1.03213
660,1.89215,1.03355
661,1.90237,1.03502
662,1.91311,1.03661
663,1.92412,1.03828
664,1.93544,1.04004
665,1.94726,1.04197
666,1.95932,1.044
667,1.9718,1.0462
668,1.98467,1.04851
669,1.99777,1.05088
670,2.01131,1.05323
671,2.02507,1.05547
672,2.03905,1.05762
673,2.05337,1.0594
674,2.06783,1.06096
675,2.0825,1.06215
676,2.09738,1.0628
677,2.11237,1.06312
678,2.12756,1.06274
679,2.14287,1.06177
680,2.15825,1.06038
681,2.17382,1.05786
682,2.18946,1.05483
683,2.20518,1.05105
684,2.22103,1.04615
685,2.23694,1.04067
686,2.25295,1.03407
687,2.269,1.02656
688,2.28506,1.01847
689,2.30103,1.0092
690,2.31691,0.99939
691,2.33267,0.98899
692,2.34812,0.97771
693,2.36339,0.96604
694,2.37833,0.95374
695,2.39284,0.94087
696,2.40709,0.92768
697,2.42073,0.91388
698,2.43392,0.89973
699,2.44674,0.88529
700,2.45865,0.87031
701,2.47013,0.85511
702,2.48095,0.83959
703,2.49087,0.8237
704,2.50028,0.80762
705,2.50868,0.7912
706,2.51627,0.77455
707,2.52332,0.75775
708,2.52919,0.74067
709,2.53456,0.72349
710,2.5393,0.7062
711,2.54313,0.68884
712,2.54655,0.67145
713,2.54925,0.65405
714,2.55133,0.6367
715,2.55304,0.6194
716,2.55398,0.60225
717,2.5545,0.58524
718,2.55463,0.56836
719,2.55406,0.55181
720,2.5532,0.53544
721,2.55187,0.51938
722,2.55002,0.50373
723,2.5479,0.48833
724,2.54526,0.47345
725,2.54225,0.45901
726,2.53898,0.44489
727,2.53515,0.43155
728,2.53108,0.41854
729,2.5267,0.40595
730,2.52192,0.39395
731,2.51696,0.38224
732,2.51166,0.37101
733,2.50612,0.36019
734,2.50043,0.34962
735,2.49443,0.33955
736,2.4883,0.32975
737,2.48204,0.32021
738,2.47558,0.31111
739,2.46904,0.30219
740,2.46241,0.29357
741,2.45569,0.28525
742,2.44894,0.27709
743,2.44214,0.26925
744,2.43536,0.26159
745,2.42857,0.25408
746,2.42186,0.24687
747,2.4152,0.23977
748,2.40861,0.23283
749,2.40215,0.22611
750,2.39575,0.21949
751,2.38946,0.21306
752,2.38325,0.20681
753,2.3771,0.20066
754,2.37104,0.19475
755,2.36504,0.18898
756,2.35907,0.18334
757,2.35318,0.17795
758,2.34731,0.17266
759,2.34148,0.16756
760,2.33569,0.16267
761,2.32992,0.1579
762,2.32416,0.15335
763,2.31842,0.14896
764,2.31268,0.14469
765,2.30694,0.14069
766,2.30118,0.13682
767,2.29542,0.1331
768,2.28964,0.12962
769,2.28383,0.12626
770,2.27799,0.12311
771,2.27211,0.12016
772,2.2662,0.11732
773,2.26024,0.11473
774,2.25427,0.11228
775,2.24829,0.10995
776,2.24232,0.10786
777,2.23635,0.10586
778,2.23041,0.10401
779,2.22451,0.10233
780,2.21865,0.10073
781,2.21285,0.0993
782,2.20713,0.09798
783,2.20145,0.09675
784,2.19593,0.09568
785,2.19047,0.09468
786,2.18511,0.09378
787,2.17992,0.09299
788,2.17483,0.09226
789,2.1699,0.09163
790,2.16515,0.09109
791,2.16051,0.09059
792,2.15611,0.09019
793,2.15188,0.08983
794,2.1478,0.08951
795,2.14403,0.08927
796,2.14041,0.08906
797,2.13702,0.08888
798,2.13389,0.08876
799,2.1309,0.08865
800,2.12815,0.08858
