Wavelength (nm),peroTripleCatMartin_n,peroTripleCatMartin_k
777,2.37555,0.00637
778,2.36996,0.00555
779,2.3645,0.00482
780,2.35924,0.00419
781,2.35418,0.00364
782,2.3491,0.00317
783,2.34439,0.00275
784,2.33963,0.00239
785,2.3348,0.00208
786,2.3301,0.00181
787,2.32557,0.00157
788,2.32089,0.00137
789,2.31687,0.00119
790,2.3127,0.00104
791,2.30877,9.00504E-4
792,2.30443,7.84796E-4
793,2.30001,6.83508E-4
794,2.29605,5.9488E-4
795,2.29238,5.18266E-4
796,2.28828,4.5197E-4
797,2.28449,3.93905E-4
798,2.28059,3.43078E-4
799,2.27658,2.99596E-4
800,2.27236,2.61472E-4
801,2.26852,2.28058E-4
802,2.26536,1.99107E-4
803,2.2615,1.74014E-4
804,2.25785,1.51996E-4
805,2.25506,1.3268E-4
806,2.25086,1.16118E-4
807,2.24703,1.0157E-4
808,2.24291,8.87934E-5
809,2.23861,7.76947E-5
810,2.23469,6.80566E-5
811,2.23073,5.95813E-5
812,2.22653,5.21306E-5
813,2.22293,4.57241E-5
814,2.21863,4.00866E-5
815,2.21402,3.51246E-5
816,2.20973,3.08031E-5
817,2.20522,2.70427E-5
818,2.20087,2.3729E-5
819,2.19638,2.08096E-5
820,2.19193,1.82921E-5
821,2.18736,1.60728E-5
822,2.18305,1.41153E-5
823,2.17874,1.2406E-5
824,2.17424,1.09156E-5
825,2.16991,9.60109E-6
826,2.16576,8.44202E-6
827,2.1617,7.43453E-6
828,2.15729,6.54819E-6
829,2.15302,5.76336E-6
830,2.14847,5.07782E-6
831,2.14412,4.47282E-6
832,2.13988,3.94113E-6
833,2.13553,3.47618E-6
834,2.13107,3.06244E-6
835,2.12649,2.70539E-6
836,2.12201,2.38609E-6
837,2.11778,2.11138E-6
838,2.11332,1.86142E-6
839,2.10871,1.6432E-6
840,2.10418,1.44695E-6
841,2.1002,1.28197E-6
842,2.09584,1.13286E-6
843,2.09166,1.00324E-6
844,2.08762,8.87825E-7
845,2.08374,7.85688E-7
846,2.0801,6.95462E-7
847,2.0765,6.15654E-7
848,2.07308,5.45447E-7
849,2.06988,4.83432E-7
850,2.06692,4.27766E-7
