Wavelength (nm),ITICinCB_n,ITICinCB_k
716,2.59952,0.86968
717,2.61736,0.85257
718,2.63491,0.83552
719,2.65184,0.81863
720,2.66845,0.80182
721,2.68456,0.78516
722,2.70003,0.76868
723,2.71513,0.75232
724,2.72946,0.73619
725,2.7432,0.72024
726,2.75651,0.70442
727,2.76873,0.68893
728,2.78046,0.67359
729,2.79152,0.65845
730,2.80154,0.64361
731,2.81101,0.62894
732,2.8195,0.61454
733,2.82706,0.60041
734,2.83403,0.58644
735,2.83966,0.57284
736,2.84452,0.55944
737,2.84861,0.54625
738,2.85135,0.5334
739,2.8535,0.5207
740,2.85473,0.50823
741,2.85497,0.49601
742,2.85468,0.48391
743,2.85337,0.47205
744,2.85139,0.46036
745,2.84893,0.44878
746,2.8454,0.43745
747,2.84146,0.42622
748,2.83693,0.41514
749,2.83162,0.40424
750,2.82595,0.39343
751,2.81963,0.38278
752,2.81278,0.37228
753,2.80561,0.36186
754,2.79776,0.35162
755,2.78959,0.34147
756,2.78109,0.33143
757,2.77203,0.32156
758,2.76275,0.31177
759,2.75311,0.3021
760,2.74311,0.29257
761,2.73292,0.28313
762,2.72239,0.27384
763,2.71165,0.26466
764,2.70076,0.25556
765,2.68958,0.24666
766,2.67831,0.23783
767,2.6669,0.22913
768,2.65534,0.22059
769,2.64373,0.21214
770,2.63204,0.20385
771,2.62031,0.19571
772,2.60856,0.18766
773,2.59683,0.17982
774,2.58513,0.1721
775,2.57346,0.1645
776,2.56192,0.15713
777,2.55045,0.14988
778,2.5391,0.14279
779,2.52796,0.13592
780,2.51692,0.12917
781,2.50615,0.12266
782,2.4956,0.11634
783,2.48521,0.11015
784,2.47524,0.10427
785,2.46546,0.09854
786,2.45593,0.09298
787,2.44677,0.08771
788,2.43778,0.08256
789,2.42909,0.07764
790,2.42067,0.07294
791,2.41242,0.06836
792,2.40451,0.06404
793,2.39679,0.05988
794,2.38925,0.05585
795,2.38205,0.05209
796,2.37499,0.04845
797,2.36815,0.04498
798,2.36156,0.04171
799,2.35511,0.03856
800,2.34891,0.0356,
