Wavelength (nm),PCE10PC60BMVLC_n,PCE10PC60BMVLC_k
646,1.868,0.20238
647,1.86968,0.20253
648,1.8713,0.20261
649,1.87286,0.20263
650,1.87438,0.20261
651,1.87582,0.20254
652,1.8772,0.20245
653,1.87855,0.20233
654,1.87981,0.20218
655,1.88102,0.20202
656,1.88218,0.20186
657,1.88327,0.20169
658,1.88431,0.20154
659,1.88528,0.20139
660,1.88619,0.20127
661,1.88705,0.20116
662,1.88783,0.2011
663,1.88856,0.20106
664,1.88923,0.20106
665,1.88982,0.20113
666,1.89038,0.20123
667,1.89087,0.20139
668,1.89133,0.20162
669,1.89176,0.2019
670,1.89217,0.20226
671,1.89257,0.2027
672,1.89296,0.20318
673,1.89337,0.20379
674,1.89379,0.20445
675,1.89423,0.2052
676,1.89471,0.20606
677,1.89522,0.20698
678,1.8958,0.20803
679,1.89643,0.20917
680,1.8971,0.21038
681,1.89789,0.21176
682,1.89873,0.21321
683,1.89966,0.21476
684,1.90071,0.21645
685,1.90182,0.21821
686,1.90307,0.22008
687,1.90444,0.22201
688,1.90589,0.22399
689,1.90753,0.22602
690,1.90927,0.22807
691,1.91112,0.23013
692,1.91318,0.23219
693,1.91533,0.23423
694,1.91765,0.23625
695,1.92016,0.23821
696,1.92277,0.24014
697,1.9256,0.24197
698,1.92859,0.24373
699,1.9317,0.24543
700,1.93508,0.24696
701,1.93858,0.24842
702,1.94227,0.24975
703,1.94618,0.25091
704,1.95022,0.25198
705,1.95447,0.25285
706,1.95886,0.25356
707,1.96335,0.25416
708,1.96801,0.25451
709,1.97273,0.25472
710,1.97754,0.25478
711,1.98243,0.25458
712,1.98735,0.25425
713,1.99232,0.25369
714,1.99731,0.25292
715,2.0023,0.25201
716,2.00729,0.2508
717,2.01226,0.24941
718,2.01721,0.24785
719,2.02209,0.24597
720,2.02693,0.24393
721,2.0317,0.24166
722,2.03638,0.2391
723,2.041,0.23638
724,2.04549,0.23335
725,2.04988,0.2301
726,2.05419,0.2267
727,2.05831,0.22297
728,2.06234,0.21911
729,2.06624,0.21509
730,2.06996,0.21085
731,2.07357,0.20652
732,2.077,0.20202
733,2.08025,0.1974
734,2.0834,0.19269
735,2.08628,0.18785
736,2.08902,0.18294
737,2.09161,0.17797
738,2.09391,0.1729
739,2.09608,0.1678
740,2.09803,0.16266
741,2.09972,0.15748
742,2.10126,0.15228
743,2.1025,0.14706
744,2.10353,0.14185
745,2.10439,0.13663
746,2.10486,0.13144
747,2.10517,0.12627
748,2.10525,0.12112
749,2.10504,0.11602
750,2.1047,0.11095
751,2.1041,0.10593
752,2.10331,0.10098
753,2.1024,0.09608
754,2.10124,0.09127
755,2.09997,0.08653
756,2.09857,0.08185
757,2.09697,0.07731
758,2.09529,0.07284
759,2.09349,0.06848
760,2.09155,0.06425
761,2.08955,0.06011
762,2.08743,0.05613
763,2.08524,0.05228
764,2.083,0.04852
765,2.08066,0.045
766,2.07829,0.04159
767,2.07587,0.03832
768,2.0734,0.03528
769,2.07092,0.03236
770,2.0684,0.02965
771,2.06587,0.02714
772,2.06333,0.02474
773,2.06077,0.02257
774,2.05821,0.02054
775,2.05565,0.01862
776,2.05308,0.01691
777,2.05052,0.01529
778,2.04796,0.0138
779,2.04541,0.01247
780,2.04287,0.01121
781,2.04036,0.01009
782,2.03786,0.00907
783,2.03537,0.00811
784,2.03293,0.00729
785,2.03051,0.00653
786,2.02811,0.00584
787,2.02577,0.00524
788,2.02345,0.00469
789,2.02118,0.0042
790,2.01896,0.00377
791,2.01678,0.00337
792,2.01466,0.00302
793,2.0126,0.0027
794,2.01057,0.00241
795,2.00864,0.00215
796,2.00675,0.0019
797,2.00491,0.00167
798,2.00315,0.00147
799,2.00142,0.00128
800,1.99975,0.00111
