Wavelength (nm),CuSCN_n,CuSCN_k
660,1.84528,0.00509
661,1.84505,0.00508
662,1.84482,0.00507
663,1.84459,0.00506
664,1.84436,0.00505
665,1.84413,0.00504
666,1.8439,0.00502
667,1.84368,0.00501
668,1.84345,0.005
669,1.84323,0.00499
670,1.84301,0.00498
671,1.84279,0.00497
672,1.84257,0.00496
673,1.84235,0.00495
674,1.84213,0.00494
675,1.84191,0.00493
676,1.8417,0.00492
677,1.84148,0.00491
678,1.84127,0.00489
679,1.84106,0.00488
680,1.84084,0.00487
681,1.84063,0.00486
682,1.84042,0.00485
683,1.84021,0.00484
684,1.84001,0.00483
685,1.8398,0.00482
686,1.83959,0.00481
687,1.83939,0.0048
688,1.83918,0.00479
689,1.83898,0.00478
690,1.83878,0.00477
691,1.83858,0.00476
692,1.83837,0.00475
693,1.83817,0.00474
694,1.83798,0.00473
695,1.83778,0.00472
696,1.83758,0.00471
697,1.83738,0.0047
698,1.83719,0.00469
699,1.83699,0.00468
700,1.8368,0.00467
701,1.83661,0.00466
702,1.83642,0.00466
703,1.83623,0.00465
704,1.83604,0.00464
705,1.83585,0.00463
706,1.83566,0.00462
707,1.83547,0.00461
708,1.83528,0.0046
709,1.8351,0.00459
710,1.83491,0.00458
711,1.83473,0.00457
712,1.83455,0.00456
713,1.83436,0.00455
714,1.83418,0.00455
715,1.834,0.00454
716,1.83382,0.00453
717,1.83364,0.00452
718,1.83346,0.00451
719,1.83328,0.0045
720,1.83311,0.00449
721,1.83293,0.00448
722,1.83275,0.00448
723,1.83258,0.00447
724,1.83241,0.00446
725,1.83223,0.00445
726,1.83206,0.00444
727,1.83189,0.00443
728,1.83172,0.00443
729,1.83155,0.00442
730,1.83138,0.00441
731,1.83121,0.0044
732,1.83104,0.00439
733,1.83087,0.00438
734,1.8307,0.00438
735,1.83054,0.00437
736,1.83037,0.00436
737,1.83021,0.00435
738,1.83005,0.00434
739,1.82988,0.00434
740,1.82972,0.00433
741,1.82956,0.00432
742,1.8294,0.00431
743,1.82924,0.00431
744,1.82908,0.0043
745,1.82892,0.00429
746,1.82876,0.00428
747,1.8286,0.00427
748,1.82844,0.00427
749,1.82829,0.00426
750,1.82813,0.00425
751,1.82798,0.00424
752,1.82782,0.00424
753,1.82767,0.00423
754,1.82751,0.00422
755,1.82736,0.00421
756,1.82721,0.00421
757,1.82706,0.0042
758,1.82691,0.00419
759,1.82676,0.00419
760,1.82661,0.00418
761,1.82646,0.00417
762,1.82631,0.00416
763,1.82616,0.00416
764,1.82601,0.00415
765,1.82587,0.00414
766,1.82572,0.00414
767,1.82558,0.00413
768,1.82543,0.00412
769,1.82529,0.00412
770,1.82514,0.00411
771,1.825,0.0041
772,1.82486,0.00409
773,1.82472,0.00409
774,1.82458,0.00408
775,1.82444,0.00407
776,1.8243,0.00407
