Wavelength (nm),SiO2Brabec_n,SiO2Brabec_k
645,1.4502,0
646,1.4502,0
647,1.4502,0
648,1.4502,0
649,1.4501,0
650,1.4501,0
651,1.4501,0
652,1.4501,0
653,1.4501,0
654,1.45,0
655,1.45,0
656,1.45,0
657,1.45,0
658,1.4499,0
659,1.4499,0
660,1.4499,0
661,1.4499,0
662,1.4499,0
663,1.4499,0
664,1.4499,0
665,1.4499,0
666,1.4499,0
667,1.4498,0
668,1.4498,0
669,1.4498,0
670,1.4498,0
671,1.4498,0
672,1.4498,0
673,1.4497,0
674,1.4497,0
675,1.4496,0
676,1.4496,0
677,1.4496,0
678,1.4495,0
679,1.4495,0
680,1.4495,0
681,1.4495,0
682,1.4495,0
683,1.4495,0
684,1.4495,0
685,1.4495,0
686,1.4495,0
687,1.4495,0
688,1.4495,0
689,1.4495,0
690,1.4495,0
691,1.4494,0
692,1.4494,0
693,1.4494,0
694,1.4494,0
695,1.4493,0
696,1.4493,0
697,1.4493,0
698,1.4492,0
699,1.4492,0
700,1.4492,0
701,1.4492,0
702,1.4492,0
703,1.4491,0
704,1.4491,0
705,1.4491,0
706,1.4491,0
707,1.4491,0
708,1.4491,0
709,1.4491,0
710,1.449,0
711,1.449,0
712,1.449,0
713,1.449,0
714,1.449,0
715,1.4489,0
716,1.4489,0
717,1.4489,0
718,1.4489,0
719,1.4489,0
720,1.4488,0
721,1.4488,0
722,1.4488,0
723,1.4488,0
724,1.4488,0
725,1.4487,0
726,1.4487,0
727,1.4487,0
728,1.4487,0
729,1.4487,0
730,1.4486,0
731,1.4486,0
732,1.4486,0
733,1.4486,0
734,1.4486,0
735,1.4486,0
736,1.4486,0
737,1.4486,0
738,1.4486,0
739,1.4486,0
740,1.4486,0
741,1.4486,0
742,1.4486,0
743,1.4486,0
744,1.4486,0
745,1.4485,0
746,1.4485,0
747,1.4485,0
748,1.4484,0
749,1.4484,0
750,1.4483,0
751,1.4483,0
752,1.4483,0
753,1.4482,0
754,1.4482,0
755,1.4482,0
756,1.4482,0
757,1.4482,0
758,1.4482,0
759,1.4482,0
760,1.4482,0
761,1.4482,0
762,1.4482,0
763,1.4482,0
764,1.4482,0
765,1.4482,0
766,1.4482,0
767,1.4481,0
768,1.4481,0
769,1.4481,0
770,1.448,0
771,1.448,0
772,1.448,0
773,1.4479,0
774,1.4479,0
775,1.4479,0
776,1.4478,0
777,1.4478,0
778,1.4478,0
779,1.4478,0
780,1.4478,0
781,1.4478,0
782,1.4478,0
783,1.4478,0
784,1.4478,0
785,1.4478,0
786,1.4477,0
787,1.4477,0
788,1.4477,0
789,1.4477,0
790,1.4477,0
791,1.4477,0
792,1.4477,0
793,1.4476,0
794,1.4476,0
795,1.4476,0
796,1.4476,0
797,1.4475,0
798,1.4475,0
799,1.4475,0
800,1.4475,0
801,1.4474,0
802,1.4474,0
803,1.4474,0
804,1.4474,0
805,1.4474,0
806,1.4474,0
807,1.4474,0
808,1.4474,0
809,1.4473,0
810,1.4473,0
811,1.4473,0
812,1.4473,0
813,1.4473,0
814,1.4473,0
815,1.4473,0
816,1.4472,0
817,1.4472,0
818,1.4472,0
819,1.4472,0
820,1.4472,0
821,1.4472,0
822,1.4471,0
823,1.4471,0
824,1.4471,0
825,1.4471,0
826,1.4471,0
827,1.447,0
828,1.447,0
829,1.447,0
830,1.447,0
831,1.447,0
832,1.447,0
833,1.447,0
834,1.447,0
835,1.447,0
836,1.447,0
837,1.447,0
838,1.447,0
839,1.447,0
840,1.447,0
841,1.447,0
842,1.447,0
843,1.447,0
844,1.447,0
845,1.447,0
846,1.447,0
847,1.447,0
848,1.447,0
849,1.447,0
850,1.447,0
851,1.447,0
852,1.447,0
853,1.447,0
854,1.447,0
855,1.447,0
856,1.447,0
857,1.447,0
858,1.447,0
859,1.447,0
860,1.447,0
861,1.447,0
862,1.447,0
863,1.447,0
864,1.447,0
865,1.447,0
866,1.447,0
867,1.447,0
868,1.447,0
869,1.447,0
870,1.447,0
871,1.447,0
872,1.447,0
873,1.447,0
874,1.447,0
875,1.447,0
876,1.447,0
877,1.447,0
878,1.447,0
879,1.447,0
880,1.447,0
881,1.447,0
882,1.447,0
883,1.447,0
884,1.447,0
885,1.447,0
886,1.447,0
887,1.447,0
888,1.447,0
889,1.447,0
890,1.447,0
891,1.447,0
892,1.447,0
893,1.447,0
894,1.447,0
895,1.447,0
896,1.447,0
897,1.447,0
898,1.447,0
899,1.447,0
900,1.447,0
901,1.447,0
902,1.447,0
903,1.447,0
904,1.447,0
905,1.447,0
906,1.447,0
907,1.447,0
908,1.447,0
909,1.447,0
910,1.447,0
911,1.447,0
912,1.447,0
913,1.447,0
914,1.447,0
915,1.447,0
916,1.447,0
917,1.447,0
918,1.447,0
919,1.447,0
920,1.447,0
921,1.447,0
922,1.447,0
